abandon ,əˈbændən  ," покидать, оставлять, самовольно уходить"
abate ,əˈbeɪt  ," уменьшать, ослаблять, умерять"
abbreviation ,əˌbriːvɪˈeɪʃ(ə)n  ," сокращение, урезание (текста при письме, ресурсов)"
abduct ,æbˈdʌkt  ," похищать, насильно уводить"
abhor ,əbˈhɔː  , питать отвращение
abject liar ,ˈæbʤɛkt ˈlaɪə  , подлый лжец
able(,ˈeɪbl( ,bodied) seaman 
abolish ,əˈbɒlɪʃ  ," аннулировать, отменять, упразднять"
abominate ,əˈbɒmɪneɪt  ," питать отвращение, ненавидеть"
abort ,əˈbɔːt  ," аварийное прекращение (полета, запуска)"
abrupt ,əˈbrʌpt  , внезапный
absolve ,əbˈzɒlv  ," освобождать, избавлять (от ответственности, долгов, наказания)"
abstain ,əbˈsteɪn  , воздерживаться
abstruse ,æbˈstruːs  ," глубокомысленный, серьезный"
absurd ,əbˈsɜːd  ," нелепый, абсурдный"
abundant supplys ,əˈbʌndənt səˈplaɪz  , богатые запасы
abyss ,əˈbɪs  ," бездна, пропасть, пучина"
accessible ,əkˈsɛsəbl  , доступный
acclaim ,əˈkleɪm  , шумное приветствие
accomplice ,əˈkɒmplɪs  ," сообщник, соучастник (преступления)"
accurate record ,ˈækjʊrɪt ˈrɛkɔːd  , точная запись
accuse ,əˈkjuːz  ," винить, обвинять, упрекать"
acid drops ,ˈæsɪd drɒps  , леденцы (с кисло
acquaint ,əˈkweɪnt  , (acquaint with) знакомить с (кем
acquiesce ,ˌækwɪˈɛs  ," уступать, молча соглашаться"
acrid ,ˈækrɪd  ," острый, резкий (на вкус)"
actuate ,ˈæktjʊeɪt  , приводить в действие
acute abdomen ,əˈkjuːt ˈæbdəmɛn  , острый живот
adamant ,ˈædəmənt  ," адамант, твердый минерал или твердый металл"
adapt ,əˈdæpt  , приспосабливать
adept ,ˈædɛpt  ," знаток, эксперт, специалист"
adequate ,ˈædɪkwɪt  ," адекватный, соответствующий"
adhere (adhere to) ,ədˈhɪə (ədˈhɪə tuː)  ," прилипать, приставать, приклеиваться, хвататься"
adjacent angle ,əˈʤeɪsənt ˈæŋgl  , смежный угол
adjourn ,əˈʤɜːn  ," откладывать, отсрочивать, прерывать, переносить"
admonish ,ədˈmɒnɪʃ  , предостерегать
adorn ,əˈdɔːn  , украшать
advent ,ˈædvənt  ," наступление (эпохи, события), прибытие, приход"
adverse reaction ,ˈædvɜːs ri(ː)ˈækʃən  , отрицательная реакция
advocate ,ˈædvəkɪt  , защитник
advocate ,ˈædvəkɪt  ," сторонник, приверженец (точки зрения, образа жизни)"
affable ,ˈæfəbl  , приветливый
affect ,əˈfɛkt  , аффект
affiliate ,əˈfɪlɪeɪt  ," филиал, отделение"
affinity ,əˈfɪnɪti  ," близость, родство (эмоциональное), влечение, тяга"
affluent society ,ˈæflʊənt səˈsaɪəti  ," богатое общество, общество изобилия"
aggravate ,ˈægrəveɪt  ," отягчать, усугублять"
ambient ,ˈæmbɪənt," окружающий, внешний"
ambiguous,[æm'bigjuəs],двусмысленный
ambivalence,[æm'biv(ə)lən(t)s],"двойственный подход (к кому-л., чему-л.); неуверенность; метания; нерешительность"
