artillery;артиллерия
capricious;капризный
decline;снижать, отменять
tangible;материальное
photosynthesis;фотосинтез
cumbersome;громоздкий
net;чистая
adversely;неблагоприятно
inhibit;подавить, запретить
commodity;товар
mobilize;мобилизировать
battle;бой
hierarchy;иерархия
rank;звание
obtain;получить
precipitation;осадки
inflation;инфляция
regulate;регулировать
strategic;стратегическое
abandon;бросать, сдаваться
aggregate;совокупный, общий
fertilize;удобрение
vanity;тщеславие
vulnerable;уязвимый
allegiance;лояльность
in the trenches;в окопах
intensify;усилить, усиливать
minimum;минимум
striking;поразительный, заметный
cease;прекращение
ratio;соотношение
subsidy;субсидия
exotic;экзотический
allocate;распределять
equity;капитал
irrigation;полив, орошение
bulk;тяжелый вид, навалом, масса
trend;тенденция
per capita;на душу населения
cultivation;выращивание
amateurish;дилетантский
gala;праздничный
hilarious;веселый
incompetent;некомпетентный
a medium;средний
a skit;пародия
zeal;"усердие; рвение"
advent;пришествие
ambiguous;"двусмысленный; неопределенный"
a connotation;"то что подразумевается; созначение"
to decipher;расшифровать
to denote;обозначать
illiterate;неграмотный
ingenious;гениальный
an inscription;надпись
phonetic;фонетический
symbolic;символический
abstract;абстрактный
a context;"ситуация; обстановка"
to depict;изображать
a dimension;"измерение; размерность"
esthetically;эстетически
intrinsic;"внутренний; присущий"
a perspective;перспектива
a portrayal;изображение
realism;реализм
a spectrum;спектр
